,ticker,bought_date,trade_size,bought_price,price,atr,stop_loss,dynamic_stop_loss,profit_exit,dynamic_profit_exit,trade_type,sell_date
120,EVRG,2019-08-27,23.0,65.29000091552734,65.29000091552734,0.9747020991997846,64.31529881632756,64.31529881632756,68.2141072131267,68.2141072131267,buy,
121,SBAC,2019-08-28,4.0,263.1499938964844,263.1499938964844,4.611158710611276,258.5388351858731,258.5388351858731,276.9834700283182,276.9834700283182,buy,
122,NEM,2019-08-28,4.0,40.869998931884766,40.869998931884766,0.9671881362861686,39.9028107955986,39.9028107955986,43.77156334074327,43.77156334074327,buy,
123,CBOE,2019-07-29,1.0,110.44999694824219,118.94000244140625,2.332405177049254,108.11759177119293,118.95585991918394,117.44721247938995,130.61243122877633,sell,2019-08-29
124,CCI,2019-08-30,5.0,145.1699981689453,145.1699981689453,2.4663639304333946,142.7036342385119,142.7036342385119,152.5690899602455,152.5690899602455,buy,
125,NEM,2019-08-28,4.0,40.869998931884766,39.88999938964844,0.9671881362861686,39.9028107955986,39.9028107955986,43.77156334074327,43.77156334074327,sell,2019-08-30
126,TSN,2019-08-22,3.0,91.66000366210938,85.26000213623047,2.114931911352119,89.54507175075726,90.952778162973,98.00479939616574,99.30166917319035,sell,2019-09-05
127,CME,2019-09-06,3.0,223.07000732421875,223.07000732421875,3.776790025244879,219.29321729897387,219.29321729897387,234.40037739995338,234.40037739995338,buy,
128,LHX,2019-09-06,2.0,214.6999969482422,214.6999969482422,4.18123416584598,210.5187627823962,210.5187627823962,227.24369944578012,227.24369944578012,buy,
129,NEM,2019-09-06,3.0,38.65999984741211,38.65999984741211,1.0271678117650127,37.6328320356471,37.6328320356471,41.74150328270715,41.74150328270715,buy,
130,EXR,2019-08-08,11.0,118.70999908447266,119.73999786376953,2.066150163531438,116.64384892094122,120.17257311088092,124.90844957506697,127.54154104607599,sell,2019-09-06
131,WEC,2019-08-21,9.0,92.73999786376953,93.12999725341797,1.4701154755989694,91.26988238817056,94.4158929427862,97.15034429056644,100.47232239234452,sell,2019-09-06
